index,gender,race/ethnicity,parental level of education,lunch,test preparation course,group
200,female,group C,associate's degree,standard,completed,group3
201,female,group D,some college,free/reduced,none,group3
202,male,group C,associate's degree,standard,none,group3
203,female,group B,associate's degree,standard,none,group3
204,male,group C,some college,standard,none,group3
205,male,group D,some high school,standard,completed,group3
206,male,group E,bachelor's degree,standard,none,group3
207,male,group E,high school,standard,completed,group3
208,female,group B,some college,free/reduced,none,group3
209,female,group B,some college,free/reduced,none,group3
210,male,group D,some high school,free/reduced,completed,group3
211,male,group C,some college,free/reduced,none,group3
212,female,group C,high school,free/reduced,none,group3
213,male,group C,associate's degree,free/reduced,completed,group3
214,male,group E,high school,standard,completed,group3
215,male,group B,some high school,standard,completed,group3
216,female,group E,associate's degree,free/reduced,completed,group3
217,female,group C,high school,free/reduced,none,group3
218,male,group B,high school,free/reduced,none,group3
219,male,group B,some high school,standard,completed,group3
220,female,group D,high school,standard,completed,group3
221,male,group B,associate's degree,standard,none,group3
222,female,group C,some high school,free/reduced,none,group3
223,male,group D,some high school,standard,none,group3
224,female,group B,associate's degree,standard,completed,group3
225,female,group E,master's degree,free/reduced,none,group3
226,female,group C,some college,standard,none,group3
227,male,group D,high school,standard,none,group3
228,male,group A,some high school,free/reduced,none,group3
229,female,group C,some college,standard,completed,group3
230,male,group D,some college,standard,none,group3
231,male,group C,associate's degree,standard,none,group3
232,female,group B,bachelor's degree,standard,none,group3
233,male,group E,some high school,standard,none,group3
234,male,group C,bachelor's degree,standard,completed,group3
235,male,group D,associate's degree,standard,none,group3
236,male,group D,bachelor's degree,free/reduced,none,group3
237,female,group D,some high school,standard,completed,group3
238,male,group B,some college,standard,none,group3
239,male,group C,associate's degree,standard,none,group3
240,male,group D,high school,free/reduced,completed,group3
241,female,group E,bachelor's degree,standard,none,group3
242,female,group D,high school,standard,none,group3
243,male,group E,some college,standard,none,group3
244,male,group D,some high school,standard,none,group3
245,male,group C,associate's degree,standard,none,group3
246,male,group E,associate's degree,standard,none,group3
247,female,group B,high school,standard,completed,group3
248,female,group B,high school,standard,none,group3
249,male,group C,high school,standard,none,group3
250,male,group A,some high school,standard,completed,group3
251,female,group D,some college,free/reduced,none,group3
252,female,group B,some high school,standard,completed,group3
253,male,group D,master's degree,standard,none,group3
254,male,group D,high school,standard,none,group3
255,female,group E,some college,standard,none,group3
256,female,group C,associate's degree,free/reduced,none,group3
257,male,group C,associate's degree,standard,completed,group3
258,female,group B,some college,standard,none,group3
259,female,group C,master's degree,free/reduced,completed,group3
260,female,group C,some high school,free/reduced,completed,group3
261,male,group C,some college,standard,completed,group3
262,female,group C,some high school,free/reduced,none,group3
263,female,group E,high school,standard,none,group3
264,male,group D,high school,standard,none,group3
265,male,group D,some high school,free/reduced,none,group3
266,female,group C,bachelor's degree,standard,none,group3
267,female,group D,high school,standard,none,group3
268,female,group D,associate's degree,standard,completed,group3
269,female,group E,some college,free/reduced,none,group3
270,male,group C,bachelor's degree,standard,none,group3
271,male,group C,some college,standard,none,group3
272,female,group D,associate's degree,free/reduced,none,group3
273,female,group D,some college,standard,none,group3
274,male,group B,some college,standard,completed,group3
275,male,group C,bachelor's degree,standard,none,group3
276,female,group C,some high school,standard,completed,group3
277,female,group E,high school,standard,completed,group3
278,female,group C,some high school,free/reduced,none,group3
279,male,group B,bachelor's degree,free/reduced,none,group3
280,male,group D,high school,standard,none,group3
281,male,group D,high school,standard,none,group3
282,female,group D,bachelor's degree,free/reduced,none,group3
283,female,group D,some college,free/reduced,completed,group3
284,female,group B,some high school,standard,none,group3
285,male,group B,associate's degree,standard,completed,group3
286,male,group E,associate's degree,standard,completed,group3
287,female,group B,some high school,standard,none,group3
288,male,group B,bachelor's degree,free/reduced,none,group3
289,male,group E,some high school,standard,completed,group3
290,male,group C,associate's degree,standard,none,group3
291,male,group D,some high school,standard,none,group3
292,male,group C,some high school,standard,completed,group3
293,female,group E,bachelor's degree,standard,none,group3
294,male,group D,high school,free/reduced,completed,group3
295,male,group B,associate's degree,free/reduced,none,group3
296,male,group A,some high school,standard,completed,group3
297,male,group E,associate's degree,standard,completed,group3
298,male,group C,high school,free/reduced,completed,group3
299,male,group D,associate's degree,free/reduced,none,group3
