index,math score,reading score,writing score
900,85,84,89
901,73,78,74
902,34,48,41
903,93,100,100
904,67,84,84
905,88,77,77
906,57,48,51
907,79,84,91
908,67,75,72
909,70,64,70
910,50,42,48
911,69,84,82
912,52,61,66
913,47,62,66
914,46,61,55
915,68,70,66
916,100,100,100
917,44,61,52
918,57,77,80
919,91,96,91
920,69,70,67
921,35,53,46
922,72,66,66
923,54,65,65
924,74,70,69
925,74,64,60
926,64,56,52
927,65,61,71
928,46,43,44
929,48,56,51
930,67,74,70
931,62,57,62
932,61,71,73
933,70,75,74
934,98,87,90
935,70,63,58
936,67,57,53
937,57,58,57
938,85,81,85
939,77,68,69
940,72,66,72
941,78,91,96
942,81,66,64
943,61,62,61
944,58,68,61
945,54,61,58
946,82,82,80
947,49,58,60
948,49,50,52
949,57,75,73
950,94,73,71
951,75,77,83
952,74,74,72
953,58,52,54
954,62,69,69
955,72,57,62
956,84,87,81
957,92,100,100
958,45,63,59
959,75,81,71
960,56,58,64
961,48,54,53
962,100,100,100
963,65,76,75
964,72,57,58
965,62,70,72
966,66,68,64
967,63,63,60
968,68,76,67
969,75,84,80
970,89,100,100
971,78,72,69
972,53,50,60
973,49,65,61
974,54,63,67
975,64,82,77
976,60,62,60
977,62,65,58
978,55,41,48
979,91,95,94
980,8,24,23
981,81,78,78
982,79,85,86
983,78,87,91
984,74,75,82
985,57,51,54
986,40,59,51
987,81,75,76
988,44,45,45
989,67,86,83
990,86,81,75
991,65,82,78
992,55,76,76
993,62,72,74
994,63,63,62
995,88,99,95
996,62,55,55
997,59,71,65
998,68,78,77
999,77,86,86
