index,math score,reading score,writing score
600,54,60,63
601,29,29,30
602,76,78,80
603,60,57,51
604,84,89,90
605,75,72,62
606,85,84,82
607,40,58,54
608,61,64,62
609,58,63,65
610,69,60,63
611,58,59,66
612,94,90,91
613,65,77,74
614,82,93,93
615,60,68,72
616,37,45,38
617,88,78,83
618,95,81,84
619,65,73,68
620,35,61,54
621,62,63,56
622,58,51,52
623,100,96,86
624,61,58,62
625,100,97,99
626,69,70,63
627,61,48,46
628,49,57,46
629,44,51,55
630,67,64,70
631,79,60,65
632,66,74,81
633,75,88,85
634,84,84,80
635,71,74,64
636,67,80,81
637,80,92,88
638,86,76,74
639,76,74,73
640,41,52,51
641,74,88,90
642,72,81,79
643,74,79,80
644,70,65,60
645,65,81,81
646,59,70,65
647,64,62,68
648,50,53,55
649,69,79,81
650,51,56,53
651,68,80,76
652,85,86,98
653,65,70,74
654,73,79,79
655,62,67,67
656,77,67,64
657,69,66,61
658,43,60,58
659,90,87,85
660,74,77,73
661,73,66,63
662,55,71,69
663,65,69,67
664,80,63,63
665,50,60,60
666,63,73,71
667,77,85,87
668,73,74,61
669,81,72,77
670,66,76,68
671,52,57,50
672,69,78,76
673,65,84,84
674,69,77,78
675,50,64,66
676,73,78,76
677,70,82,76
678,81,75,78
679,63,61,60
680,67,72,74
681,60,68,60
682,62,55,54
683,29,40,44
684,62,66,68
685,94,99,100
686,85,75,68
687,77,78,73
688,53,58,44
689,93,90,83
690,49,53,53
691,73,76,78
692,66,74,81
693,77,77,73
694,49,63,56
695,79,89,86
696,75,82,90
697,59,72,70
698,57,78,79
699,66,66,59
