index,gender,race/ethnicity,parental level of education,lunch,test preparation course,group
300,male,group A,some college,free/reduced,completed,group4
301,male,group D,some high school,free/reduced,none,group4
302,female,group C,associate's degree,standard,completed,group4
303,male,group B,associate's degree,standard,none,group4
304,female,group C,associate's degree,standard,completed,group4
305,male,group A,some college,standard,none,group4
306,male,group E,some college,standard,completed,group4
307,male,group C,some high school,standard,none,group4
308,female,group B,associate's degree,free/reduced,none,group4
309,female,group D,high school,free/reduced,none,group4
310,female,group B,associate's degree,standard,none,group4
311,male,group B,bachelor's degree,standard,none,group4
312,male,group D,bachelor's degree,standard,completed,group4
313,female,group C,associate's degree,free/reduced,completed,group4
314,female,group C,bachelor's degree,standard,completed,group4
315,male,group C,high school,standard,none,group4
316,female,group D,master's degree,standard,completed,group4
317,male,group C,associate's degree,standard,none,group4
318,male,group B,bachelor's degree,standard,none,group4
319,female,group D,associate's degree,free/reduced,none,group4
320,female,group C,high school,free/reduced,completed,group4
321,female,group E,high school,standard,none,group4
322,female,group C,some college,standard,none,group4
323,female,group C,some high school,free/reduced,none,group4
324,female,group C,high school,free/reduced,none,group4
325,female,group C,some college,standard,none,group4
326,male,group C,some college,standard,none,group4
327,male,group A,some college,free/reduced,none,group4
328,male,group C,associate's degree,standard,completed,group4
329,female,group B,some high school,standard,none,group4
330,male,group C,high school,standard,none,group4
331,male,group C,associate's degree,standard,none,group4
332,male,group E,associate's degree,standard,completed,group4
333,male,group B,associate's degree,standard,none,group4
334,female,group C,bachelor's degree,standard,none,group4
335,female,group B,some college,free/reduced,none,group4
336,male,group D,some high school,standard,completed,group4
337,male,group C,associate's degree,standard,none,group4
338,female,group B,some high school,free/reduced,none,group4
339,female,group D,some high school,free/reduced,completed,group4
340,male,group C,high school,free/reduced,none,group4
341,female,group C,high school,standard,none,group4
342,female,group B,high school,standard,completed,group4
343,male,group D,associate's degree,standard,completed,group4
344,male,group D,some college,standard,none,group4
345,female,group C,high school,standard,none,group4
346,male,group B,some college,standard,none,group4
347,female,group C,bachelor's degree,standard,completed,group4
348,male,group D,high school,free/reduced,none,group4
349,male,group E,associate's degree,standard,none,group4
350,female,group B,bachelor's degree,standard,none,group4
351,male,group E,some college,standard,none,group4
352,female,group C,some college,standard,completed,group4
353,female,group C,associate's degree,standard,none,group4
354,female,group C,some college,standard,none,group4
355,female,group B,bachelor's degree,standard,none,group4
356,male,group A,associate's degree,standard,none,group4
357,female,group C,some college,free/reduced,completed,group4
358,male,group D,some college,free/reduced,none,group4
359,female,group D,some college,standard,none,group4
360,female,group B,high school,standard,none,group4
361,male,group B,some high school,standard,completed,group4
362,female,group C,some college,standard,none,group4
363,female,group D,some high school,free/reduced,none,group4
364,male,group C,some college,standard,none,group4
365,male,group A,bachelor's degree,free/reduced,completed,group4
366,male,group C,high school,standard,completed,group4
367,male,group C,bachelor's degree,free/reduced,none,group4
368,female,group A,some high school,free/reduced,none,group4
369,female,group D,some high school,standard,none,group4
370,male,group E,some college,standard,none,group4
371,female,group C,some college,free/reduced,completed,group4
372,male,group D,some high school,standard,none,group4
373,female,group D,some college,standard,completed,group4
374,female,group D,bachelor's degree,standard,none,group4
375,male,group E,associate's degree,free/reduced,none,group4
376,female,group D,some high school,standard,none,group4
377,female,group D,master's degree,free/reduced,completed,group4
378,female,group A,some high school,standard,none,group4
379,male,group A,bachelor's degree,standard,none,group4
380,female,group B,associate's degree,standard,none,group4
381,male,group C,associate's degree,standard,completed,group4
382,male,group C,master's degree,free/reduced,none,group4
383,female,group E,some high school,free/reduced,none,group4
384,female,group A,some high school,free/reduced,none,group4
385,female,group E,some college,standard,none,group4
386,female,group E,bachelor's degree,standard,none,group4
387,female,group C,associate's degree,free/reduced,none,group4
388,female,group D,high school,standard,none,group4
389,male,group D,master's degree,standard,none,group4
390,male,group E,some high school,free/reduced,completed,group4
391,female,group D,some college,standard,none,group4
392,male,group E,some college,standard,none,group4
393,male,group C,associate's degree,standard,completed,group4
394,female,group C,some high school,standard,completed,group4
395,male,group A,high school,free/reduced,none,group4
396,female,group B,high school,free/reduced,none,group4
397,female,group C,associate's degree,standard,none,group4
398,male,group B,some high school,standard,none,group4
399,male,group D,some high school,standard,none,group4
