index,math score,reading score,writing score
800,67,73,68
801,76,80,73
802,87,94,95
803,82,85,87
804,73,76,78
805,75,81,74
806,64,74,75
807,41,45,40
808,90,75,69
809,59,54,51
810,51,31,36
811,45,47,49
812,54,64,67
813,87,84,76
814,72,80,83
815,94,86,87
816,45,59,64
817,61,70,76
818,60,72,68
819,77,91,88
820,85,90,92
821,78,90,93
822,49,52,51
823,71,87,82
824,48,58,52
825,62,67,58
826,56,68,70
827,65,69,76
828,69,86,81
829,68,54,53
830,61,60,57
831,74,86,89
832,64,60,58
833,77,82,89
834,58,50,45
835,60,64,74
836,73,64,57
837,75,82,79
838,58,57,53
839,66,77,73
840,39,52,46
841,64,58,51
842,23,44,36
843,74,77,76
844,40,65,64
845,90,85,84
846,91,85,85
847,64,54,50
848,59,72,68
849,80,75,69
850,71,67,67
851,61,68,63
852,87,85,93
853,82,67,61
854,62,64,55
855,97,97,96
856,75,68,65
857,65,79,81
858,52,49,46
859,87,73,72
860,53,62,53
861,81,86,87
862,39,42,38
863,71,71,80
864,97,93,91
865,82,82,88
866,59,53,52
867,61,42,41
868,78,74,72
869,49,51,51
870,59,58,47
871,70,72,76
872,82,84,78
873,90,90,82
874,43,62,61
875,80,64,66
876,81,82,84
877,57,61,54
878,59,72,80
879,64,76,74
880,63,64,66
881,71,70,70
882,64,73,71
883,55,46,44
884,51,51,54
885,62,76,80
886,93,100,95
887,54,72,59
888,69,65,74
889,44,51,48
890,86,85,91
891,85,92,85
892,50,67,73
893,88,74,75
894,59,62,69
895,32,34,38
896,36,29,27
897,63,78,79
898,67,54,63
899,65,78,82
