index,math score,reading score,writing score
100,79,67,67
101,68,74,74
102,85,91,89
103,60,44,47
104,98,86,90
105,58,67,72
106,87,100,100
107,66,63,64
108,52,76,70
109,70,64,72
110,77,89,98
111,62,55,49
112,54,53,47
113,51,58,54
114,99,100,100
115,84,77,74
116,75,85,82
117,78,82,79
118,51,63,61
119,55,69,65
120,79,92,89
121,91,89,92
122,88,93,93
123,63,57,56
124,83,80,73
125,87,95,86
126,72,68,67
127,65,77,74
128,82,82,74
129,51,49,51
130,89,84,82
131,53,37,40
132,87,74,70
133,75,81,84
134,74,79,75
135,58,55,48
136,51,54,41
137,70,55,56
138,59,66,67
139,71,61,69
140,76,72,71
141,59,62,64
142,42,55,54
143,57,43,47
144,88,73,78
145,22,39,33
146,88,84,75
147,73,68,66
148,68,75,81
149,100,100,93
150,62,67,69
151,77,67,68
152,59,70,66
153,54,49,47
154,62,67,61
155,70,89,88
156,66,74,78
157,60,60,60
158,61,86,87
159,66,62,64
160,82,78,74
161,75,88,85
162,49,53,52
163,52,53,49
164,81,92,91
165,96,100,100
166,53,51,51
167,58,76,78
168,68,83,78
169,67,75,70
170,72,73,74
171,94,88,78
172,79,86,81
173,63,67,70
174,43,51,54
175,81,91,87
176,46,54,58
177,71,77,77
178,52,70,62
179,97,100,100
180,62,68,75
181,46,64,66
182,50,50,47
183,65,69,70
184,45,52,49
185,65,67,65
186,80,76,65
187,62,66,68
188,48,52,45
189,77,88,87
190,66,65,69
191,76,83,79
192,62,64,66
193,77,62,62
194,69,84,85
195,61,55,52
196,59,69,65
197,55,56,51
198,45,53,55
199,78,79,76
