index,math score,reading score,writing score
700,79,81,82
701,57,67,72
702,87,84,87
703,63,64,67
704,59,63,64
705,62,72,65
706,46,34,36
707,66,59,52
708,89,87,79
709,42,61,58
710,93,84,90
711,80,85,85
712,98,100,99
713,81,81,84
714,60,70,74
715,76,94,87
716,73,78,72
717,96,96,99
718,76,76,74
719,91,73,80
720,62,72,70
721,55,59,59
722,74,90,88
723,50,48,42
724,47,43,41
725,81,74,71
726,65,75,77
727,68,51,57
728,73,92,84
729,53,39,37
730,68,77,80
731,55,46,43
732,87,89,94
733,55,47,44
734,53,58,57
735,67,57,59
736,92,79,84
737,53,66,73
738,81,71,73
739,61,60,55
740,80,73,72
741,37,57,56
742,81,84,82
743,59,73,72
744,55,55,47
745,72,79,74
746,69,75,71
747,69,64,68
748,50,60,59
749,87,84,86
750,71,69,68
751,68,72,65
752,79,77,75
753,77,90,85
754,58,55,53
755,84,95,92
756,55,58,52
757,70,68,72
758,52,59,65
759,69,77,77
760,53,72,64
761,48,58,54
762,78,81,86
763,62,62,63
764,60,63,59
765,74,72,72
766,58,75,77
767,76,62,60
768,68,71,75
769,58,60,57
770,52,48,49
771,75,73,74
772,52,67,72
773,62,78,79
774,66,65,60
775,49,58,55
776,66,72,70
777,35,44,43
778,72,79,82
779,94,85,82
780,46,56,57
781,77,90,84
782,76,85,82
783,52,59,62
784,91,81,79
785,32,51,44
786,72,79,77
787,19,38,32
788,68,65,61
789,52,65,61
790,48,62,60
791,60,66,70
792,66,74,69
793,89,84,77
794,42,52,51
795,57,68,73
796,70,70,70
797,70,84,81
798,69,60,54
799,52,55,57
