index,math score,reading score,writing score
300,81,78,81
301,56,54,52
302,67,84,81
303,80,76,64
304,74,75,83
305,69,67,69
306,99,87,81
307,51,52,44
308,53,71,67
309,49,57,52
310,73,76,80
311,66,60,57
312,67,61,68
313,68,67,69
314,59,64,75
315,71,66,65
316,77,82,91
317,83,72,78
318,63,71,69
319,56,65,63
320,67,79,84
321,75,86,79
322,71,81,80
323,43,53,53
324,41,46,43
325,82,90,94
326,61,61,62
327,28,23,19
328,82,75,77
329,41,55,51
330,71,60,61
331,47,37,35
332,62,56,53
333,90,78,81
334,83,93,95
335,61,68,66
336,76,70,69
337,49,51,43
338,24,38,27
339,35,55,60
340,58,61,52
341,61,73,63
342,69,76,74
343,67,72,67
344,79,73,67
345,72,80,75
346,62,61,57
347,77,94,95
348,75,74,66
349,87,74,76
350,52,65,69
351,66,57,52
352,63,78,80
353,46,58,57
354,59,71,70
355,61,72,70
356,63,61,61
357,42,66,69
358,59,62,61
359,80,90,89
360,58,62,59
361,85,84,78
362,52,58,58
363,27,34,32
364,59,60,58
365,49,58,60
366,69,58,53
367,61,66,61
368,44,64,58
369,73,84,85
370,84,77,71
371,45,73,70
372,74,74,72
373,82,97,96
374,59,70,73
375,46,43,41
376,80,90,82
377,85,95,100
378,71,83,77
379,66,64,62
380,80,86,83
381,87,100,95
382,79,81,71
383,38,49,45
384,38,43,43
385,67,76,75
386,64,73,70
387,57,78,67
388,62,64,64
389,73,70,75
390,73,67,59
391,77,68,77
392,76,67,67
393,57,54,56
394,65,74,77
395,48,45,41
396,50,67,63
397,85,89,95
398,74,63,57
399,60,59,54
