index,math score,reading score,writing score
200,67,84,86
201,65,81,77
202,69,77,69
203,57,69,68
204,59,41,42
205,74,71,78
206,82,62,62
207,81,80,76
208,74,81,76
209,58,61,66
210,80,79,79
211,35,28,27
212,42,62,60
213,60,51,56
214,87,91,81
215,84,83,75
216,83,86,88
217,34,42,39
218,66,77,70
219,61,56,56
220,56,68,74
221,87,85,73
222,55,65,62
223,86,80,75
224,52,66,73
225,45,56,54
226,72,72,71
227,57,50,54
228,68,72,64
229,88,95,94
230,76,64,66
231,46,43,42
232,67,86,83
233,92,87,78
234,83,82,84
235,80,75,77
236,63,66,67
237,64,60,74
238,54,52,51
239,84,80,80
240,73,68,66
241,80,83,83
242,56,52,55
243,59,51,43
244,75,74,69
245,85,76,71
246,89,76,74
247,58,70,68
248,65,64,62
249,68,60,53
250,47,49,49
251,71,83,83
252,60,70,70
253,80,80,72
254,54,52,52
255,62,73,70
256,64,73,68
257,78,77,77
258,70,75,78
259,65,81,81
260,64,79,77
261,79,79,78
262,44,50,51
263,99,93,90
264,76,73,68
265,59,42,41
266,63,75,81
267,69,72,77
268,88,92,95
269,71,76,70
270,69,63,61
271,58,49,42
272,47,53,58
273,65,70,71
274,88,85,76
275,83,78,73
276,85,92,93
277,59,63,75
278,65,86,80
279,73,56,57
280,53,52,42
281,45,48,46
282,73,79,84
283,70,78,78
284,37,46,46
285,81,82,82
286,97,82,88
287,67,89,82
288,88,75,76
289,77,76,77
290,76,70,68
291,86,73,70
292,63,60,57
293,65,73,75
294,78,77,80
295,67,62,60
296,46,41,43
297,71,74,68
298,40,46,50
299,90,87,75
